"","augspurger_si","mahoro_si","marquis_si","koenig_si","albert_si"
"1",0.799240117454268,NA,NA,NA,NA
"2",0.734062016081502,NA,NA,NA,NA
"3",0.924887200921684,NA,NA,NA,NA
"4",0.660728582173548,NA,NA,NA,NA
"5",0.555814608533706,NA,NA,NA,NA
"6",0.874171965295022,NA,NA,NA,NA
"7",0.840736018856617,NA,NA,NA,NA
"8",0.804241832566642,NA,NA,NA,NA
"9",0.731389072338175,NA,NA,NA,NA
"10",0.918108940867562,NA,NA,NA,NA
"11",0.655668768103454,NA,NA,NA,NA
"12",0.55347222535449,NA,NA,NA,NA
"13",0.871256744883931,NA,NA,NA,NA
"14",0.84732718342035,NA,NA,NA,NA
"15",0.807153437376844,NA,NA,NA,NA
"16",0.713740667035095,NA,NA,NA,NA
"17",0.869099036340416,NA,NA,NA,NA
"18",0.658266269396362,NA,NA,NA,NA
"19",0.555723970613217,NA,NA,NA,NA
"20",0.857866864362616,NA,NA,NA,NA
"21",0.839583934166557,NA,NA,NA,NA
"22",0.654945560401508,NA,NA,NA,NA
"23",0.63040190309824,NA,NA,NA,NA
"24",0.315768605596192,NA,NA,NA,NA
"25",0.62133544933903,NA,NA,NA,NA
"26",0.526959290787138,NA,NA,NA,NA
"27",0.537625806534313,NA,NA,NA,NA
"28",0.576153672185059,NA,NA,NA,NA
"29",0.800908488084211,NA,NA,NA,NA
"30",0.720075176944404,NA,NA,NA,NA
"31",0.912855969062866,NA,NA,NA,NA
"32",0.669457020648996,NA,NA,NA,NA
"33",0.561592363717883,NA,NA,NA,NA
"34",0.864208532097588,NA,NA,NA,NA
"35",0.82873551777787,NA,NA,NA,NA
"36",0.783065528700093,NA,NA,NA,NA
"37",0.730834246606895,NA,NA,NA,NA
"38",0.760564709875055,NA,NA,NA,NA
"39",0.665408599469265,NA,NA,NA,NA
"40",0.553147432790909,NA,NA,NA,NA
"41",0.844824997865213,NA,NA,NA,NA
"42",0.825887752636398,NA,NA,NA,NA
"43",0.757873042463137,NA,NA,NA,NA
"44",0.700291651839055,NA,NA,NA,NA
"45",0.424839464494637,NA,NA,NA,NA
"46",0.65726240784205,NA,NA,NA,NA
"47",0.544695261030091,NA,NA,NA,NA
"48",0.682019919444207,NA,NA,NA,NA
"49",0.727837183269057,NA,NA,NA,NA
"50",0.668665794800867,NA,NA,NA,NA
"51",0.667305674841429,NA,NA,NA,NA
"52",0.394197143852316,NA,NA,NA,NA
"53",0.636914035419566,NA,NA,NA,NA
"54",0.548861343682746,NA,NA,NA,NA
"55",0.618779809286516,NA,NA,NA,NA
"56",0.675542336035814,NA,NA,NA,NA
