,Tsd,Fsd,file_names,freitas_si,chakra_thesis_si,chakra_new_si,chakra_april_si,augspurger_si,mating_opp_si,outcross_opp_si
1,0.01,10,T_0.01_F_10.csv,0.072922311,0.02760046,0.924876511,0.227741441,0.799240117,8378.466667,8004.133333
2,0.01,15,T_0.01_F_15.csv,0.050943978,0.018535172,0.904542317,0.169496303,0.734062016,5654.933333,5375.2
3,0.01,2,T_0.01_F_2.csv,0.302794113,0.140591494,0.987233226,0.748828694,0.924887201,42281.86667,40771.53333
4,0.01,20,T_0.01_F_20.csv,0.039216877,0.013768736,0.867242392,0.145095906,0.660728582,4229.266667,3992.933333
5,0.01,30,T_0.01_F_30.csv,0.027816442,0.009354713,0.841501019,0.117793898,0.555814609,2903.2,2712.866667
6,0.01,5,T_0.01_F_5.csv,0.137620064,0.056231954,0.961432832,0.380886699,0.874171965,16966.6,16307.26667
7,0.01,7.5,T_0.01_F_7.5.csv,0.09792058,0.038922069,0.943463908,0.283962065,0.840736019,11773.06667,11287.4
8,0.1,10,T_0.1_F_10.csv,0.073832495,0.028378161,0.92969606,0.234190844,0.804241833,8608.4,8229.666667
9,0.1,15,T_0.1_F_15.csv,0.050880765,0.018515862,0.894400551,0.175592367,0.731389072,5653.733333,5369.6
10,0.1,2,T_0.1_F_2.csv,0.303839522,0.139368966,0.986459739,0.747370923,0.918108941,41909.53333,40417
11,0.1,20,T_0.1_F_20.csv,0.040456723,0.014428506,0.874110901,0.152210085,0.655668768,4428.533333,4184.266667
12,0.1,30,T_0.1_F_30.csv,0.027764932,0.009376782,0.827492765,0.116539482,0.553472225,2913.333333,2719.266667
13,0.1,5,T_0.1_F_5.csv,0.135815658,0.056446437,0.963124407,0.375253932,0.871256745,17028.73333,16369.46667
14,0.1,7.5,T_0.1_F_7.5.csv,0.095369003,0.037494713,0.933100575,0.288858147,0.847327183,11349.4,10873.46667
15,1,10,T_1_F_10.csv,0.072648295,0.027465287,0.923010455,0.224436346,0.807153437,8333.866667,7964.933333
16,1,15,T_1_F_15.csv,0.051399633,0.01892023,0.890310876,0.184706798,0.713740667,5779.133333,5486.866667
17,1,2,T_1_F_2.csv,0.293405465,0.126530805,0.916935888,0.670437802,0.869099036,38155.8,36693.93333
18,1,20,T_1_F_20.csv,0.039795025,0.01402023,0.866425956,0.149797897,0.658266269,4307.133333,4065.866667
19,1,30,T_1_F_30.csv,0.028016096,0.009401149,0.831527768,0.11430286,0.555723971,2918.133333,2726.333333
20,1,5,T_1_F_5.csv,0.133161494,0.054884138,0.94537474,0.365139088,0.857866864,16573.2,15916.4
21,1,7.5,T_1_F_7.5.csv,0.096012017,0.037781839,0.943745245,0.27232171,0.839583934,11422.86667,10956.73333
22,10,10,T_10_F_10.csv,0.05862218,0.021026207,0.666541756,0.176113536,0.65494556,6488.933333,6097.6
23,10,15,T_10_F_15.csv,0.043534055,0.015154713,0.720182967,0.14935691,0.630401903,4686.533333,4394.866667
24,10,2,T_10_F_2.csv,0.083742549,0.030184368,0.216497163,0.156863684,0.315768606,10216.53333,8753.466667
25,10,20,T_10_F_20.csv,0.037057219,0.012810805,0.787896174,0.136469896,0.621335449,3957.933333,3715.133333
26,10,30,T_10_F_30.csv,0.026383916,0.008883678,0.792517308,0.117995115,0.526959291,2769.333333,2576.266667
27,10,5,T_10_F_5.csv,0.077474534,0.02780023,0.467067064,0.180310286,0.537625807,8727.266667,8062.066667
28,10,7.5,T_10_F_7.5.csv,0.060500216,0.021715862,0.545224709,0.159278711,0.576153672,6769.066667,6297.6
29,0.0001,10,T_1e-04_F_10.csv,0.074397428,0.028031034,0.920882958,0.23580115,0.800908488,8512.666667,8129
30,0.0001,15,T_1e-04_F_15.csv,0.051903431,0.018956322,0.893248817,0.185152181,0.720075177,5785.866667,5497.333333
31,0.0001,2,T_1e-04_F_2.csv,0.30685928,0.139758161,0.991856639,0.749179835,0.912855969,42021.26667,40529.86667
32,0.0001,20,T_1e-04_F_20.csv,0.039958743,0.014063218,0.871433066,0.150833413,0.669457021,4316.733333,4078.333333
33,0.0001,30,T_1e-04_F_30.csv,0.027619733,0.009322759,0.829053784,0.115759398,0.561592364,2893.2,2703.6
34,0.0001,5,T_1e-04_F_5.csv,0.13502992,0.057670575,0.960850192,0.385824468,0.864208532,17397,16724.46667
35,0.0001,7.5,T_1e-04_F_7.5.csv,0.092927003,0.03683954,0.940449642,0.27473353,0.828735518,11145.66667,10683.46667
36,2,10,T_2_F_10.csv,0.071069793,0.027027356,0.893387902,0.218200517,0.783065529,8214.266667,7837.933333
37,2,15,T_2_F_15.csv,0.051399403,0.018510575,0.885433426,0.179880648,0.730834247,5655.066667,5368.066667
38,2,2,T_2_F_2.csv,0.238128432,0.094670575,0.684089786,0.477416545,0.76056471,28908.53333,27454.46667
39,2,20,T_2_F_20.csv,0.039823396,0.014108046,0.879738721,0.155309521,0.665408599,4327.266667,4091.333333
